name,oldest,refs,ts_count,youngest
Dw1,Ordovician,"2, 3, 12, 13, 84, 401",0.0,Ordovician
Arienigraptus zhejiangensis,Ordovician,"2, 3, 12, 54, 401",0.0,Ordovician
Conochitina pirum,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Undulograptus austrodentatus,Ordovician,"2, 3, 12, 329, 401",0.0,Ordovician
Microzakodina parva,Ordovician,"2, 3, 12, 84, 401",0.0,Ordovician
Hunderum,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Kuniutan,Ordovician,"2, 3, 12, 72, 367, 401",0.0,Ordovician
Lenodus antivariabilis,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Megistaspis limbata,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Undulograptus sinicus,Ordovician,"2, 3, 12, 54, 401",0.0,Ordovician
Cardiograptus morsus,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Expansograptus hirundo / Undulograptus austrodentatus,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Plectodina fragilis,Ordovician,"2, 3, 12, 72, 401",0.0,Ordovician
Amorphognathus antivariabilis,Ordovician,"2, 3, 12, 372, 401",0.0,Ordovician
Darriwilian 1,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Los Azules Lower,Ordovician,"2, 3, 12, 294, 401",0.0,Ordovician
Sarka,Ordovician,"2, 3, 12, 94, 271, 401",0.0,Ordovician
Paraglossograptus tentaculatus,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Paroistodus horridus,Ordovician,"2, 3, 12, 15, 401",0.0,Ordovician
Shihtien,Ordovician,"2, 3, 12, 250, 401",0.0,Ordovician
Shihuigou,Ordovician,"2, 3, 12, 250, 401",0.0,Ordovician
Fenggou,Ordovician,"2, 3, 12, 250, 401",0.0,Ordovician
Klimoli,Ordovician,"2, 3, 12, 250, 401",0.0,Ordovician
Lanmutan,Ordovician,"2, 3, 12, 250, 401",0.0,Ordovician
Kelimoti,Ordovician,"2, 3, 12, 372, 401",0.0,Ordovician
Owen Creek,Ordovician,"2, 3, 12, 114, 401",0.0,Ordovician
Antelope Valley,Ordovician,"2, 3, 12, 39, 401",0.0,Ordovician
