name,oldest,refs,ts_count,youngest
Dw1,Darriwilian,"2, 3, 12, 13, 84",0.0,Darriwilian
Arienigraptus zhejiangensis,Darriwilian,"2, 3, 12, 54",0.0,Darriwilian
Belonechitina henryi,Dapingian,"2, 3, 12, 321",1.0,Darriwilian
Conochitina cucumis,Dapingian,"2, 3, 9, 12",1.0,Darriwilian
Conochitina pirum,Darriwilian,"2, 3, 12",0.0,Darriwilian
Desmochitina bulla,Dapingian,"2, 3, 12, 400",1.0,Darriwilian
Undulograptus austrodentatus,Darriwilian,"2, 3, 12, 329",0.0,Darriwilian
Microzakodina parva,Darriwilian,"2, 3, 12, 84",0.0,Darriwilian
Hunderum,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Kuniutan,Darriwilian,"2, 3, 12, 72, 367",0.0,Darriwilian
Shangmajiagou,Dapingian,"2, 3, 12, 72",1.0,Darriwilian
Lenodus antivariabilis,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Megistaspis limbata,Darriwilian,"2, 3, 12, 16",0.0,Darriwilian
Undulograptus sinicus,Darriwilian,"2, 3, 12, 54",0.0,Darriwilian
Cardiograptus morsus,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Expansograptus hirundo / Undulograptus austrodentatus,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Plectodina fragilis,Darriwilian,"2, 3, 12, 72",0.0,Darriwilian
Amorphognathus antivariabilis,Darriwilian,"2, 3, 12, 372",0.0,Darriwilian
Tekmen Limestone,Dapingian,"2, 3, 12, 234",1.0,Darriwilian
Darriwilian 1,Darriwilian,"2, 3, 12",0.0,Darriwilian
Ugorian,Floian,"2, 3, 12, 107",2.0,Darriwilian
Los Azules Lower,Darriwilian,"2, 3, 12, 294",0.0,Darriwilian
Sarka,Darriwilian,"2, 3, 12, 94, 271",0.0,Darriwilian
Paraglossograptus tentaculatus,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Paroistodus horridus,Darriwilian,"2, 3, 12, 15",0.0,Darriwilian
Shihtien,Darriwilian,"2, 3, 12, 250",0.0,Darriwilian
Shihuigou,Darriwilian,"2, 3, 12, 250",0.0,Darriwilian
Courrejou,Dapingian,"2, 3, 12, 238",1.0,Darriwilian
Fenggou,Darriwilian,"2, 3, 12, 250",0.0,Darriwilian
Klimoli,Darriwilian,"2, 3, 12, 250",0.0,Darriwilian
Lanmutan,Darriwilian,"2, 3, 12, 250",0.0,Darriwilian
Kelimoti,Darriwilian,"2, 3, 12, 372",0.0,Darriwilian
Owen Creek,Darriwilian,"2, 3, 12, 114",0.0,Darriwilian
Antelope Valley,Darriwilian,"2, 3, 12, 39",0.0,Darriwilian
Kårgärde Limestone,Darriwilian,"2, 3, 11, 12",0.0,Darriwilian
Coroico,Darriwilian,"2, 3, 12, 288",0.0,Darriwilian
Elgencha,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Las Chacritas Upper,Darriwilian,"2, 3, 12, 15",0.0,Darriwilian
Lachug,Darriwilian,"2, 3, 12, 346",0.0,Darriwilian
Kopaly,Darriwilian,"2, 3, 12, 345",0.0,Darriwilian
Las Chacritas Lower,Darriwilian,"2, 3, 12, 15",0.0,Darriwilian
Haedon,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Oakdale,Darriwilian,"2, 3, 12, 132",0.0,Darriwilian
Las Chacritas,Darriwilian,"2, 3, 12, 15",0.0,Darriwilian
Pioneer,Darriwilian,"2, 3, 12, 204",0.0,Darriwilian
