reference_id,name_1,name_2,reference_year
290,Alfarcito,Cardonal,1998
290,Casa Colorada,Lampazar,1998
290,Rupasca,Acoite,1998
290,Santa Victoria,Alfarcito,1998
290,Santa Victoria,Casa Colorada,1998
290,Santa Victoria,Rupasca,1998
82,Becscie,Fox Point,2012
82,Ellis Bay,Grindstone,2012
82,Ellis Bay,Laframboise,2012
82,Ellis Bay,Lousy Cove,2012
82,Ellis Bay,Prinsta,2012
82,Ellis Bay,Velleda,2012
82,Mill Bay,Vaureal,2012
82,Vaureal,Mill Bay,2012
82,Vaureal,Schmitt Creek,2012
9,Adila,Halliku,2010
9,Adila,Jelgava,2010
9,Adila,Jonstorp,2010
9,Adila,Paroveja,2010
9,Adze,Dalby,2010
9,Adze,Skagen,2010
9,Ärina,Kuldiga,2010
9,Ärina,Loka,2010
9,Ärina,Tommarp,2010
9,Aseri,BC3,2010
9,Aseri,Kandle,2010
9,Baldone,Holen Limestone,2010
9,BC10,Saunja carbon isotope excursion,2010
9,BC11,Waynesville isotope carbon excursion,2010
9,BC12,Moe carbon isotope excursion,2010
9,BC12,Whitewater isotope carbon excursion,2010
9,BC13,Whitewater isotope carbon excursion,2010
9,BC14,Paroveja carbon isotope excursion,2010
9,BC16,HICE,2010
9,BC17,HICE,2010
9,BC2,Mid Darriwilian isotope carbon excursion,2010
9,BC3,Mid Darriwilian isotope carbon excursion,2010
9,BC4,Mid Darriwilian isotope carbon excursion,2010
9,BC8,Rakvere carbon isotope excursion,2010
9,BC9,Fairview isotope carbon excursion,2010
9,Blidene,Skagen,2010
9,Dapingian,not specified,2010
9,Dp1,BC1,2010
9,Dp1,not specified,2010
9,Dp1,Toila,2010
9,Dp1,Volkhov,2010
9,Dp2,BC1,2010
9,Dp2,Toila,2010
9,Dp2,Volkhov,2010
9,Dp3,BC1,2010
9,Dp3,Toila,2010
9,Dp3,Volkhov,2010
9,Dreimani,Dalby,2010
9,Dw1,BC1,2010
9,Dw1,Holen Limestone,2010
9,Dw1,Kunda,2010
9,Dw1,Sakyna,2010
9,Dw2,Aseri,2010
9,Dw2,Baldone,2010
9,Dw2,BC2,2010
9,Dw2,Holen Limestone,2010
9,Dw2,Kandle,2010
9,Dw2,Kunda,2010
9,Dw2,Loobu,2010
9,Dw2,Mid Darriwilian isotope carbon excursion,2010
9,Dw2,Pakri,2010
9,Dw2,Segerstad Limestone,2010
9,Dw2,Segerstad Limestone,2010
9,Dw2,Skärlöv,2010
9,Dw2,Stirnas,2010
9,Dw2,Vämb,2010
9,Dw3,BC3,2010
9,Dw3,BC4,2010
9,Dw3,Folkeslunda,2010
9,Dw3,Gullhögen,2010
9,Dw3,Korgekallas,2010
9,Dw3,Lasnamägi,2010
9,Dw3,Lindegård Mudstone,2010
9,Dw3,Mid Darriwilian isotope carbon excursion,2010
9,Dw3,Ryd,2010
9,Dw3,Seby,2010
9,Dw3,Skärlöv,2010
9,Dw3,Skövde,2010
9,Dw3,Stirnas,2010
9,Dw3,Taurupe,2010
9,Dw3,Uhaku,2010
9,Dw3,Vämb,2010
9,Dw3,Väo,2010
9,Fjäcka,Fjäcka,2010
9,Fl1,BC1,2010
9,Fl3,Billingen,2010
9,Gullhögen,Folkeslunda,2010
9,Gullhögen,Lindegård Mudstone,2010
9,Haljala,Adze,2010
9,Haljala,Dalby,2010
9,Haljala,Kahula,2010
9,Haljala,Tatruse,2010
9,Halliku,Jonstorp,2010
9,Halliku,Paroveja,2010
9,Hi1,Ärina,2010
9,Hi1,BC16,2010
9,Hi1,Kuldiga,2010
9,Hi1,Tommarp,2010
9,Hi2,BC17,2010
9,Hi2,Glisstjärn,2010
9,Hi2,not specified,2010
9,Hi2,Saldus,2010
9,Hirmuse,Moldå,2010
9,Hirmuse,Mossen,2010
9,Hirmuse,Mossen,2010
9,Hirmuse,Skagen,2010
9,Hirmuse,Variku,2010
9,Jelgava,Jonstorp,2010
9,Jonstorp,Jonstorp,2010
9,Ka1,BC6,2010
9,Ka1,BC7,2010
9,Ka1,BC8,2010
9,Ka1,BC9,2010
9,Ka1,Blidene,2010
9,Ka1,GICE,2010
9,Ka1,Hirmuse,2010
9,Ka1,Keila,2010
9,Ka1,Kope isotope carbon excursion,2010
9,Ka1,Moldå,2010
9,Ka1,Mossen,2010
9,Ka1,Mossen,2010
9,Ka1,Oandu,2010
9,Ka1,Rakvere,2010
9,Ka1,Skagen,2010
9,Ka1,Slandrom,2010
9,Ka1,Variku,2010
9,Ka2,BC10,2010
9,Ka2,BC9,2010
9,Ka2,Fairview isotope carbon excursion,2010
9,Ka2,Montu,2010
9,Ka2,Nabala,2010
9,Ka2,Paekna,2010
9,Ka2,Rakvere,2010
9,Ka2,Saunja,2010
9,Ka2,Slandrom,2010
9,Ka3,BC10,2010
9,Ka3,BC11,2010
9,Ka3,Fjäcka,2010
9,Ka3,Fjäcka,2010
9,Ka3,Korgessaare,2010
9,Ka3,Nabala,2010
9,Ka3,Saunja,2010
9,Ka3,Slandrom,2010
9,Ka3,Tudulinna,2010
9,Ka3,Vormsi,2010
9,Ka3,Waynesville isotope carbon excursion,2010
9,Ka4,Adila,2010
9,Ka4,BC12,2010
9,Ka4,BC13,2010
9,Ka4,BC14,2010
9,Ka4,BC15,2010
9,Ka4,Halliku,2010
9,Ka4,Jelgava,2010
9,Ka4,Jonstorp,2010
9,Ka4,Jonstorp,2010
9,Ka4,Kuili,2010
9,Ka4,Moe,2010
9,Ka4,Moe carbon isotope excursion,2010
9,Ka4,Paroveja,2010
9,Ka4,Paroveja carbon isotope excursion,2010
9,Ka4,Ulunda,2010
9,Ka4,Whitewater isotope carbon excursion,2010
9,Kahula,Adze,2010
9,Kahula,Blidene,2010
9,Kahula,Dalby,2010
9,Kahula,Skagen,2010
9,Kandle,Segerstad Limestone,2010
9,Kandle,Segerstad Limestone,2010
