name,oldest,youngest,ts_count,refs,rule
Katian,Ka1,Ka4,3.0,"12, 47, 2, 48",0.0
Upper Ordovician,Sa1,Hi2,7.0,2,0.0
Sandbian,Sa1,Sa2,1.0,"12, 2",0.0
Hirnantian,Hi1,Hi2,1.0,"12, 2, 48",0.0
Darriwilian,Dw1,Dw3,2.0,"12, 2",0.0
Middle Ordovician,Dp1,Dw3,5.0,2,0.0
4b,Dw2,Dw3,1.0,84,0.0
Dapingian,Dp1,Dp3,2.0,"12, 2",0.0
3a,Dp1,Dp2,1.0,84,0.0
3b,Dp2,Dp3,1.0,84,0.0
4a,Dw1,Dw1,0.0,84,0.0
Floian,Fl1,Fl3,2.0,"12, 2",0.0
Lower Ordovician,Tr1,Fl3,5.0,2,0.0
2a,Fl1,Fl1,0.0,84,0.0
2b,Fl1,Fl2,1.0,84,0.0
2c,Fl3,Fl3,0.0,84,0.0
Tremadocian,Tr1,Tr3,2.0,"12, 2",0.0
1a,Tr1,Tr1,0.0,84,0.0
1b,Tr1,Tr2,1.0,84,0.0
1c,Tr2,Tr3,1.0,84,0.0
1d,Tr3,Tr3,0.0,84,0.0
Spinachitina cervicornis,Sa2,Ka1,1.0,9,1.0
Dicranograptus clingani,Ka1,Ka1,0.0,"329, 17",1.0
Dicellograptus morrisi,Ka1,Ka1,0.0,2,1.0
Dicranograptus caudatus,Ka1,Ka1,0.0,2,1.0
Pleurograptus linearis,Ka2,Ka2,0.0,"329, 2, 17",1.0
Amplexograptus manitoulinensis,Ka2,Ka2,0.0,2,1.0
Angochitina curvata,Sa2,Sa2,0.0,9,1.0
Arrnoriachitina granulifera,Sa2,Sa2,0.0,9,1.0
Baltoniodus alobatus,Sa2,Sa2,0.0,9,1.0
Baltoniodus gerdae,Sa2,Sa2,0.0,"2, 9",1.0
Belonechitina hirsuta,Sa2,Sa2,0.0,9,1.0
Lagenochitina dalbyensis,Sa2,Sa2,0.0,9,1.0
Diplograptus foliaceus,Sa2,Sa2,0.0,"17, 2",1.0
Climacograptus bicornis,Sa2,Sa2,0.0,"329, 2",1.0
Climacograptus wilsoni,Sa1,Sa2,1.0,329,1.0
Diplograptus multidens,Sa1,Sa2,1.0,329,1.0
Amorphognathus ordovicicus,Hi1,Hi1,0.0,"17, 2, 46",1.0
