name,oldest,youngest,ts_count,refs,rule
Middle Ordovician,Dapingian,Darriwilian,1.0,"401, 2",0.0
Dp2,Dapingian,Dapingian,0.0,"12, 2",0.0
Dp1,Dapingian,Dapingian,0.0,"12, 2",0.0
Dp3,Dapingian,Dapingian,0.0,"12, 2",0.0
Upper Ordovician,Sandbian,Hirnantian,2.0,"401, 2",0.0
Hi1,Hirnantian,Hirnantian,0.0,"12, 47, 2, 48",0.0
Hi2,Hirnantian,Hirnantian,0.0,"12, 2, 48",0.0
Lower Ordovician,Tremadocian,Floian,1.0,"401, 2",0.0
Tr1,Tremadocian,Tremadocian,0.0,"12, 2",0.0
Tr2,Tremadocian,Tremadocian,0.0,"12, 2",0.0
Tr3,Tremadocian,Tremadocian,0.0,"12, 2",0.0
4a,Darriwilian,Darriwilian,0.0,3,0.0
4b,Darriwilian,Darriwilian,0.0,3,0.0
4c,Darriwilian,Darriwilian,0.0,3,0.0
Dw1,Darriwilian,Darriwilian,0.0,"12, 2",0.0
Dw2,Darriwilian,Darriwilian,0.0,"12, 2",0.0
Dw3,Darriwilian,Darriwilian,0.0,"12, 2",0.0
Ka1,Katian,Katian,0.0,"12, 2",0.0
Ka2,Katian,Katian,0.0,"12, 47, 2, 48",0.0
Ka3,Katian,Katian,0.0,"12, 47, 2, 48",0.0
Ka4,Katian,Katian,0.0,"12, 2, 47",0.0
Sa1,Sandbian,Sandbian,0.0,"12, 2",0.0
Sa2,Sandbian,Sandbian,0.0,"12, 2",0.0
Llandovery,Rhuddanian,Telychian,2.0,401,0.0
Fl1,Floian,Floian,0.0,"12, 2",0.0
Fl2,Floian,Floian,0.0,"12, 2",0.0
Fl3,Floian,Floian,0.0,"12, 2",0.0
Charmouthien,Pliensbachian,Pliensbachian,0.0,409,0.0
Lower Jurassic,Hettangian,Toarcian,3.0,401,0.0
Crussolien,Kimmeridgian,Kimmeridgian,0.0,409,0.0
Upper Jurassic,Oxfordian,Tithonian,2.0,401,0.0
Pridoli,Pridolian,Pridolian,0.0,401,0.0
Bajocien,Aalenian,Bajocian,1.0,405,0.0
Middle Jurassic,Aalenian,Callovian,3.0,401,0.0
Bathonien,Bathonian,Callovian,1.0,405,0.0
Callovien,Callovian,Callovian,0.0,405,0.0
Corallien,Oxfordian,Oxfordian,0.0,405,0.0
Oxfordien,Oxfordian,Oxfordian,0.0,405,0.0
Portlandien,Tithonian,Tithonian,0.0,405,0.0
Sinémurien,Sinemurian,Sinemurian,0.0,405,0.0
Toarcien,Toarcian,Toarcian,0.0,405,0.0
Lower Cretaceous,Berriasian,Albian,5.0,401,0.0
Middle Triassic,Anisian,Ladinian,1.0,401,0.0
Miocene,Aquitanian,Messinian,5.0,401,0.0
Cisuralian,Asselian,Kungurian,3.0,401,0.0
Eocene,Ypresian,Priabonian,3.0,401,0.0
Lower Pennsylvanian,Bashkirian,Bashkirian,0.0,401,0.0
Pleistocene,Gelasian,Upper Pleistocene,3.0,401,0.0
Furongian,Paibian,Cambrian Stage 10,2.0,401,0.0
Terreneuvian,Fortunian,Cambrian Stage 2,1.0,401,0.0
Cambrian Series 2,Cambrian Stage 3,Cambrian Stage 4,1.0,401,0.0
Upper Cretaceous,Cenomanian,Maastrichtian,5.0,401,0.0
Guadalupian,Roadian,Capitanian,2.0,401,0.0
Upper Triassic,Carnian,Rhaetian,2.0,401,0.0
Lopingian,Wuchiapingian,Changhsingian,1.0,401,0.0
Oligocene,Rupelian,Chattian,1.0,401,0.0
Paleocene,Danian,Thanetian,2.0,401,0.0
Miaolingian,Wuliuan,Guzhangian,2.0,401,0.0
Middle Devonian,Eifelian,Givetian,1.0,401,0.0
Lower Devonian,Lochkovian,Emsian,2.0,401,0.0
Upper Devonian,Frasnian,Famennian,1.0,401,0.0
Ludlow,Gorstian,Ludfordian,1.0,401,0.0
Holocene,Greenlandian,Meghalayan,2.0,401,0.0
Upper Pennsylvanian,Kasimovian,Gzhelian,1.0,401,0.0
Wenlock,Sheinwoodian,Homerian,1.0,401,0.0
Lower Triassic,Induan,Olenekian,1.0,401,0.0
Middle Pennsylvanian,Moscovian,Moscovian,0.0,401,0.0
Pliocene,Zanclean,Piacenzian,1.0,401,0.0
Upper Mississippian,Serpukhovian,Serpukhovian,0.0,401,0.0
Lower Mississippian,Tournaisian,Tournaisian,0.0,401,0.0
Middle Mississippian,Visean,Visean,0.0,401,0.0
Baltoniodus norrlandicus,Dapingian,Darriwilian,1.0,"400, 12",1.0
Belonechitina henryi,Dapingian,Darriwilian,1.0,"400, 12",1.0
Cardiograptus morsus / Oncograptus upsilon,Dapingian,Dapingian,0.0,12,1.0
Desmochitina ornensis,Dapingian,Dapingian,0.0,"400, 12",1.0
Histiodella altifrons,Dapingian,Dapingian,0.0,12,1.0
Histiodella sinuosa,Dapingian,Darriwilian,1.0,12,1.0
Isograptus gibberulus,Dapingian,Dapingian,0.0,"400, 12",1.0
Isograptus victoriae maximus,Dapingian,Dapingian,0.0,12,1.0
Isograptus victoriae victoriae,Dapingian,Dapingian,0.0,12,1.0
Microzakodina flabellum / Tripodus laevus,Floian,Dapingian,1.0,12,1.0
Paroistodus originalis,Dapingian,Dapingian,0.0,"400, 12",1.0
Angarella,Floian,Darriwilian,2.0,399,1.0
Aparchites clivosus,Floian,Dapingian,1.0,399,1.0
Biolgina sibirica,Floian,Dapingian,1.0,399,1.0
Coleodus mirabilis,Dapingian,Darriwilian,1.0,399,1.0
Histodiella angulata,Floian,Dapingian,1.0,399,1.0
