name,oldest,youngest,ts_count,refs,rule
Dw1,4a,4a,0.0,84,0.0
Darriwilian,4a,4c,2.0,3,0.0
Middle Ordovician,3a,4c,4.0,3,0.0
Dw2,4b,4b,0.0,84,0.0
Fl3,2c,2c,0.0,84,0.0
Lower Ordovician,1a,2c,6.0,3,0.0
Dp1,3a,3a,0.0,84,0.0
Dp2,3a,3b,1.0,84,0.0
Dp3,3b,3b,0.0,84,0.0
Tr3,1c,1d,1.0,84,0.0
Fl1,2a,2b,1.0,84,0.0
Fl2,2b,2b,0.0,84,0.0
Tr1,1a,1b,1.0,84,0.0
Tr2,1b,1c,1.0,84,0.0
Upper Ordovician,5a,6c,6.0,3,0.0
Arienigraptus zhejiangensis,4a,4a,0.0,3,1.0
Baltoniodus norrlandicus,3b,4a,1.0,3,1.0
Belonechitina henryi,4a,4a,0.0,3,1.0
Conochitina cucumis,4a,4a,0.0,3,1.0
Conochitina pirum,4a,4a,0.0,3,1.0
Cyathochitina regnelli,4a,4b,1.0,3,1.0
Desmochitina bulla,4a,4a,0.0,3,1.0
Eoplacognathus variabilis,4a,4b,1.0,3,1.0
Expansograptus hirundo,3a,4a,2.0,3,1.0
Histiodella holodentata,4a,4b,1.0,"3, 84",1.0
Histiodella sinuosa,3b,4a,1.0,"3, 84",1.0
Hyalochitina protocalix,4a,4b,1.0,3,1.0
Levisograptus dentatus,4a,4b,1.0,3,1.0
Undulograptus austrodentatus,4a,4a,0.0,3,1.0
Undulograptus intersitus,4a,4b,1.0,3,1.0
Lenodus variabilis,4a,4b,1.0,84,1.0
Microzakodina parva,4a,4a,0.0,84,1.0
Pteracontiodus cryptodens,2c,4a,3.0,84,1.0
Acrograptus ellesae,4b,4b,0.0,3,1.0
Armoricochitina armoricana / Cyathochitina jenkinsi,4b,4c,1.0,3,1.0
Conochitina turgida / Conochitina subcylindrica,4b,4b,0.0,3,1.0
Cyathochitina calix,4b,4b,0.0,3,1.0
Didymograptus artus,4b,4b,0.0,3,1.0
Didymograptus callotheca,4b,4c,1.0,3,1.0
Didymograptus murchisoni,4b,4c,1.0,3,1.0
Eoplacognathus suecicus,4b,4b,0.0,3,1.0
Holmograptus lentus,4b,4b,0.0,3,1.0
Nicholsonograptus fasciculatus,4b,4c,1.0,3,1.0
Phragmodus polonicus,4b,4c,1.0,3,1.0
Pseudoclimacograptus decoratus,4b,4c,1.0,3,1.0
Siphonochitina formosa,4b,4b,0.0,3,1.0
Archiclimacograptus riddellensis,4c,4c,0.0,3,1.0
Belonechitina hirsuta / Lagenochitina sp. A,4c,5b,2.0,3,1.0
Cahabagnathus friendsvillensis,4c,4c,0.0,3,1.0
Cahabagnathus sweeti,4c,5b,2.0,3,1.0
Conochitina clavaherculi,4c,4c,0.0,3,1.0
Conochitina tuberculata,4c,4c,0.0,3,1.0
Cyathochitina jenkinsi,4c,4c,0.0,3,1.0
Cyathochitina sebyensis,4c,4c,0.0,3,1.0
Didymograptus jiangxiensis,4c,4c,0.0,3,1.0
Hustedograptus teretiusculus,4c,4c,0.0,3,1.0
Laufeldochitina clavata,4c,4c,0.0,3,1.0
Linochitina pissotensis,4c,4c,0.0,3,1.0
Pterograptus elegans,4c,4c,0.0,3,1.0
Pygodus serra,4c,4c,0.0,3,1.0
Sagittodontina kielcensis,4c,4c,0.0,3,1.0
Acanthograptus suecicus,2c,3a,1.0,3,1.0
Baltograptus deflexus,2c,2c,0.0,3,1.0
Conochitina langei / Conochitina brevis,2c,3b,2.0,3,1.0
Corymbograptus varicosus,2b,2c,1.0,3,1.0
Cyathochitina primitiva,1c,3b,6.0,3,1.0
Didymograptus bifidus,2c,2c,0.0,3,1.0
Didymograptus protobifidus,2c,2c,0.0,3,1.0
Eremochitina brevis,2c,3a,1.0,3,1.0
Expansograptus simulans,2c,3a,1.0,3,1.0
Isograptus primulus,2c,2c,0.0,3,1.0
Lagenochitina esthonica / Conochitina raymondi,2b,2c,1.0,3,1.0
Oepikodus evae,2b,2c,1.0,"3, 84",1.0
Pendeograptus fruticosus,2b,2c,1.0,3,1.0
Pendeograptus fruticosus 3br,2c,2c,0.0,3,1.0
Phyllograptus densus,2c,2c,0.0,3,1.0
Phyllograptus elongatus,2c,2c,0.0,3,1.0
Reutterodus andinus,2c,2c,0.0,"3, 84, 159",1.0
Baltoniodus navis,2c,3a,1.0,"3, 84",1.0
Oepikodus communis,2a,2b,1.0,"3, 84",1.0
Baltoniodus triangularis,3a,3a,0.0,3,1.0
Isograptus caduceus imitatus,3a,3b,1.0,3,1.0
Isograptus gibberulus,3a,3b,1.0,3,1.0
Isograptus victoriae,3a,3a,0.0,3,1.0
Isograptus victoriae lunatus,3a,3a,0.0,3,1.0
Isograptus victoriae victoriae,3a,3a,0.0,3,1.0
Microzakodina flabellum / Tripodus laevus,3a,3a,0.0,"159, 3, 84",1.0
Histiodella altifrons,3b,3b,0.0,"3, 84",1.0
Cardiograptus morsus / Oncograptus upsilon,3b,3b,0.0,3,1.0
Desmochitina ornensis,3b,3b,0.0,3,1.0
Exigraptus clavus,3b,3b,0.0,3,1.0
Isograptus victoriae maximo-divergens,3b,3b,0.0,3,1.0
Isograptus victoriae maximus,3b,3b,0.0,3,1.0
Oncograptus,3b,3b,0.0,3,1.0
Paroistodus originalis,3b,3b,0.0,"3, 84",1.0
Acodus delicatus,1c,1d,1.0,84,1.0
MN faunizone D,1b,1d,2.0,244,1.0
MN faunizone E,1c,1d,1.0,244,1.0
MN faunizone F,1c,1d,1.0,244,1.0
MN faunizone G,1c,1d,1.0,244,1.0
Acodus deltatus / Oneotodus costatus,1c,1d,1.0,"3, 84",1.0
Adelograptus / Clonograptus,1b,1d,2.0,3,1.0
Adelograptus victoriae,1b,1d,2.0,3,1.0
Amphorachitina conifundus,1c,1d,1.0,3,1.0
Araneograptus murrayi,1c,1d,1.0,3,1.0
Araneograptus pulchellus /  Araneograptus macgillivrayi,1c,1d,1.0,3,1.0
Hunnegraptus copiosus,1d,1d,0.0,3,1.0
Paracordylodus gracilis,1d,2a,1.0,3,1.0
Tripodus,1c,1d,1.0,3,1.0
Macerodus dianae,1b,1b,0.0,"3, 84",1.0
Didymograptus balticus,2b,2b,0.0,3,1.0
Eremochitina baculata,2b,2b,0.0,3,1.0
Pendeograptus fruticosus / Tetragraptus approximatus,2a,2b,1.0,3,1.0
Pendeograptus fruticosus 3 / 4br,2b,2b,0.0,3,1.0
Pendeograptus fruticosus 4br,2b,2b,0.0,3,1.0
Prioniodus elegans,2a,2b,1.0,"3, 84",1.0
Tetragraptus akzharensis,2b,2b,0.0,3,1.0
Conochitina symmetrica,2a,2a,0.0,3,1.0
Oelanodus elongatus / Acodus deltatus,2a,2a,0.0,3,1.0
Tetragraptus approximatus,2a,2a,0.0,3,1.0
Tetragraptus phyllograptoides,2a,2a,0.0,3,1.0
Paroistodus proteus,2a,2a,0.0,84,1.0
MN faunizone H,2a,2a,0.0,244,1.0
Cordylodus angulatus,1a,1a,0.0,"3, 84",1.0
Iapetognathus fluctivagus,1a,1a,0.0,3,1.0
Paltodus deltifer,1a,1c,2.0,3,1.0
Rhabdinopora flabelliformis / S. dichotomus,1a,1a,0.0,3,1.0
Rhabdinopora flabelliformis s. l.,1a,1a,0.0,3,1.0
Rhabdinopora flabelliformis-parabola,1a,1a,0.0,3,1.0
Rhabdinopora scitulum / Anisograptus,1a,1a,0.0,3,1.0
Rhabdinopora socialis / flabelliformis / desmograptoides / parabola,1a,1a,0.0,3,1.0
Triograptus / Anisograptus,1a,1a,0.0,3,1.0
Rossodus manitouensis,1b,1b,0.0,"3, 84",1.0
MN faunizone C,1b,1b,0.0,244,1.0
Adelograptus hunnebergensis,1b,1b,0.0,3,1.0
Adelograptus victoriae/ Paradelograptus antiquus,1b,1b,0.0,3,1.0
Adenograptus tenellus,1b,1b,0.0,3,1.0
Kiaerograptus supremus,1b,1b,0.0,3,1.0
Lagenochitina destombesi,1b,1b,0.0,3,1.0
low diversity interval,1b,1b,0.0,"3, 84",1.0
Psigraptus,1b,1b,0.0,3,1.0
Drepanoistodus amoenus,1c,1c,0.0,3,1.0
Acanthochitina barbata,5d,6a,1.0,3,1.0
Amorphognathus ordovicicus,5d,6c,3.0,3,1.0
Amorphognathus superbus,5c,5d,1.0,3,1.0
Amplexograptus manitoulinensis,5d,5d,0.0,3,1.0
Armoricochitina reticulifera,5d,5d,0.0,3,1.0
Belonechitina robusta,5c,5d,1.0,3,1.0
Climacograptus wilsoni,5b,6a,3.0,3,1.0
Conochitina pygmaea / Hercochitina cristata / Ancyrochitlna spongiosa,5c,5d,1.0,3,1.0
Dicellograptus gravis,5d,5d,0.0,3,1.0
Dicranograptus kirki,5d,5d,0.0,3,1.0
Geniculograptus pygmaeus,5d,5d,0.0,3,1.0
Hyalochitina hyalophrys,5d,5d,0.0,3,1.0
Orthograptus quadrimucronatus / Dicellograptus johnstrupi,5d,5d,0.0,3,1.0
Oulodus robustus,5d,5d,0.0,3,1.0
Oulodus velicuspis,5d,5d,0.0,3,1.0
Pleurograptus linearis,5d,5d,0.0,3,1.0
Tanuchitina bergstroemi,5d,6a,1.0,3,1.0
Tanuchitina fistulosa,5d,5d,0.0,3,1.0
Ancyrochitina merga,6a,6b,1.0,3,1.0
Aphelognathus divergens,6a,6b,1.0,3,1.0
Armoricochitina nigerica,6a,6a,0.0,3,1.0
Climacograptus? uncinatus,6a,6a,0.0,3,1.0
Conochitina rugata,6a,6b,1.0,3,1.0
Conochitina senta,6a,6a,0.0,3,1.0
Cyathochitina vaurealensis ,6a,6a,0.0,3,1.0
Dicellograptus complanatus,6a,6a,0.0,3,1.0
Dicellograptus complexus,6a,6a,0.0,3,1.0
Dicellograptus ornatus,6a,6a,0.0,3,1.0
pre-pacificus,6a,6a,0.0,3,1.0
Acanthochitina cancellata,5c,5c,0.0,3,1.0
Ancryochitina sp. 1,5c,5c,0.0,3,1.0
Angochitina multiplex,5c,5c,0.0,3,1.0
Baltoniodus alobatus,5b,5c,1.0,3,1.0
Belodina confluens,5c,5c,0.0,3,1.0
Corynoides americanus,5c,5c,0.0,3,1.0
Cyathochitina angusta,5c,5c,0.0,3,1.0
Dicranograptus clingani,5c,5c,0.0,3,1.0
Diplacanthograptus lanceolatus,5c,5c,0.0,3,1.0
Diplacanthograptus spiniferus,5c,5c,0.0,3,1.0
Diplograptus foliaceus,5b,5c,1.0,3,1.0
Euconochitina tanvillensis,5c,5c,0.0,3,1.0
Orthograptus calcaratus,5b,5c,1.0,3,1.0
Orthograptus ruedemanni,5c,5c,0.0,3,1.0
Phragmodus undatus,5b,5c,1.0,3,1.0
Plectodina tenuis,5c,5c,0.0,3,1.0
Sphaerochitina gracqui / Kalochitina multispinata / Hercochitina duplicitas / Conochitina primitiva,5c,5c,0.0,3,1.0
Amorphognathus inaequalis,5a,5a,0.0,3,1.0
Angochitina curvata,5a,5b,1.0,3,1.0
Baltoniodus variabilis,5a,5b,1.0,3,1.0
Eisenackitina rhenana,5a,5a,0.0,3,1.0
Lagenochitina deunffi,5a,5b,1.0,3,1.0
Lagenochitina ponceti,5a,5a,0.0,3,1.0
Nemagraptus gracilis,5a,5a,0.0,3,1.0
Aphelognathus shatzeri,6b,6c,1.0,3,1.0
Hercochitina crickmayi,6b,6b,0.0,3,1.0
Paraorthograptus pacificus,6b,6b,0.0,3,1.0
Tanuchitina anticostiensis,6b,6b,0.0,3,1.0
Ancyrochitina ellisbayensis / Spinachitina taugourdeaui,6c,6c,0.0,3,1.0
Belonechitina gamachiana,6c,6c,0.0,3,1.0
Conochitina scabra / Spinachitina taugourdeaui,6c,6c,0.0,3,1.0
Normalograptus extraordinarius,6c,6c,0.0,3,1.0
Normalograptus extraordinarius / Normalograptus ojsuensis,6c,6c,0.0,3,1.0
Normalograptus persculptus,6c,6c,0.0,3,1.0
Spinachitina oulebsiri,6c,6c,0.0,3,1.0
Tanuchitina elongata,6c,6c,0.0,3,1.0
Baltoniodus gerdae,5b,5b,0.0,3,1.0
Belodina compressa,5b,5b,0.0,3,1.0
Climacograptus bicornis,5b,5b,0.0,3,1.0
Erismodus quadridactylus,5b,5b,0.0,3,1.0
Lagenochitina dalbyensis,5b,5b,0.0,3,1.0
Spinachitina cervicornis,5b,5b,0.0,3,1.0
Spinachitina sp. A,5b,5b,0.0,3,1.0
Sarka,4a,4c,2.0,"271, 94",2.0
Klabava,2a,4a,5.0,"271, 105",2.0
Hunderum,4a,4a,0.0,3,2.0
Kunda,4a,4b,1.0,3,2.0
Valaste,4a,4b,1.0,3,2.0
Andouillé,3b,5b,5.0,224,2.0
Le Pissot,3b,4c,3.0,224,2.0
Postolonnec,3b,5b,5.0,224,2.0
Traveusot,3b,5a,4.0,224,2.0
Holen Limestone,4a,4b,1.0,11,2.0
Lanna Limestone,3a,4a,2.0,11,2.0
Aguathuna,2c,4a,3.0,84,2.0
Kanosh,3a,4a,2.0,84,2.0
Lehman,4a,4b,1.0,84,2.0
San Juan,1d,4a,6.0,84,2.0
Arenigian,2a,4a,5.0,271,2.0
Dawan,2b,4a,4.0,"367, 72",2.0
Kuniutan,4a,4a,0.0,"367, 72",2.0
Sandaogou,3b,4a,1.0,72,2.0
Shangmajiagou,4a,4a,0.0,72,2.0
Zitai,2b,4a,4.0,"367, 72",2.0
Arenig,2a,4a,5.0,3,2.0
Fennian,3a,4a,2.0,3,2.0
Langevoja,3b,4a,1.0,3,2.0
Oeland,1a,4b,10.0,3,2.0
Volkhov,3a,4a,2.0,3,2.0
Whiterockian,3a,5a,5.0,3,2.0
Daguanshan,2b,4b,5.0,367,2.0
Houping,3b,4a,1.0,367,2.0
Meitan,2b,4b,5.0,367,2.0
Aluoja,4b,4b,0.0,3,2.0
