name,oldest,youngest,ts_count,refs,rule
Cambrian Stage 3,Cambrian,Cambrian,0.0,401,6.9
Cambrian Stage 4,Cambrian,Cambrian,0.0,401,6.9
Cambrian Stage 10,Cambrian,Cambrian,0.0,401,6.9
Jiangshanian,Cambrian,Cambrian,0.0,401,6.9
Paibian,Cambrian,Cambrian,0.0,401,6.9
Drumian,Cambrian,Cambrian,0.0,401,6.9
Guzhangian,Cambrian,Cambrian,0.0,401,6.9
Wuliuan,Cambrian,Cambrian,0.0,401,6.9
Cambrian Stage 2,Cambrian,Cambrian,0.0,401,6.9
Fortunian,Cambrian,Cambrian,0.0,401,6.9
Bendigonian,Ordovician,Ordovician,0.0,2,6.9
Chewtonian,Ordovician,Ordovician,0.0,2,6.9
Lancefieldian,Ordovician,Ordovician,0.0,2,6.9
Arenigian,Ordovician,Ordovician,0.0,2,6.9
Fl1,Ordovician,Ordovician,0.0,2,6.9
Fl2,Ordovician,Ordovician,0.0,2,6.9
Fl3,Ordovician,Ordovician,0.0,2,6.9
Floian,Ordovician,Ordovician,0.0,401,6.9
Ibexian,Ordovician,Ordovician,0.0,2,6.9
Lower Arenigian,Ordovician,Ordovician,0.0,2,6.9
Lower Tremadocian,Ordovician,Ordovician,0.0,2,6.9
Middle Arenigian,Ordovician,Ordovician,0.0,2,6.9
Nyaian,Ordovician,Ordovician,0.0,2,6.9
Oeland,Ordovician,Ordovician,0.0,2,6.9
Tr1,Ordovician,Ordovician,0.0,2,6.9
Tr2,Ordovician,Ordovician,0.0,2,6.9
Tr3,Ordovician,Ordovician,0.0,2,6.9
Tremadocian,Ordovician,Ordovician,0.0,401,6.9
Tremadocian Upper,Ordovician,Ordovician,0.0,2,6.9
Ugorian,Ordovician,Ordovician,0.0,2,6.9
Arenig,Ordovician,Ordovician,0.0,2,6.9
Billingen,Ordovician,Ordovician,0.0,2,6.9
Blackhillsian,Ordovician,Ordovician,0.0,2,6.9
Castlemainian,Ordovician,Ordovician,0.0,2,6.9
Cressagian,Ordovician,Ordovician,0.0,2,6.9
Hunneberg,Ordovician,Ordovician,0.0,2,6.9
