name_1,name_2,oldest,oldest_index,youngest,youngest_index,ts_count,refs,rule,reference_id,reference_year
Cambrian Stage 3,Cambrian Series 2,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Cambrian Stage 4,Cambrian Series 2,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Cambrian Stage 10,Furongian,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Jiangshanian,Furongian,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Paibian,Furongian,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Drumian,Miaolingian,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Guzhangian,Miaolingian,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Wuliuan,Miaolingian,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Cambrian Stage 2,Terreneuvian,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Fortunian,Terreneuvian,Cambrian,10,Cambrian,10,0.0,401,6.6,401,2020
Bendigonian,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Chewtonian,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Lancefieldian,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Arenigian,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Fl1,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Fl2,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Fl3,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Floian,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Ibexian,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Lower Arenigian,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
Lower Tremadocian,Lower Ordovician,Ordovician,11,Ordovician,11,0.0,"401, 2",6.6,2,2009
